center,mcs,h,constraint_count,open_slots,running_rank
1000000,410.65,191,43,20,1
1000039,432.2631578947368,191,43,19,2
1000189,456.27777777777777,191,43,18,3
1000199,483.11764705882354,191,43,17,4
1001591,513.3125,191,43,16,5
1001731,547.5333333333333,191,43,15,6
1004761,586.6428571428571,191,43,14,7
1004767,631.7692307692307,191,43,13,8
1004771,684.4166666666666,191,43,12,9
1004779,688.0,192,43,12,10
1048063,707.6666666666666,193,44,12,11
1060781,772.0,193,44,11,12
1090483,776.0,194,44,11,13
1090513,853.6,194,44,10,14
1507151,933.8,203,46,10,15
1507153,1037.5555555555557,203,46,9,16
1507157,1167.25,203,46,8,17
