current_right_prime,next_prime,gap_width,first_open_offset,exact_next_dmin,exact_next_peak_offset,exact_gap_boundary_offset,cutoff,cutoff_utilization,boundary_utilization,divisor_ladder
11,13,2,2,6,1,2,64,0.015625,0.03125,6
19,23,4,4,4,2,4,64,0.03125,0.0625,6 4
43,47,4,4,4,3,4,64,0.046875,0.0625,6 6 4
113,127,14,6,3,8,14,64,0.125,0.21875,8 4 6 6 4 4 16 3
1669,1693,24,4,3,12,24,64,0.1875,0.375,8 4 16 4 16 6 6 8 4 4 40 3
11867,11887,20,2,3,14,20,64,0.21875,0.3125,24 8 8 6 24 4 8 10 6 8 4 4 64 3
24631,24659,28,6,3,18,28,64,0.28125,0.4375,8 24 8 8 12 4 8 8 56 4 18 4 12 16 4 6 32 3
39581,39607,26,2,3,20,26,64,0.3125,0.40625,16 4 12 32 4 4 12 8 16 12 24 6 8 4 12 8 8 4 90 3
157579,157627,48,4,3,30,48,72,0.4166666666666667,0.6666666666666666,12 6 4 4 60 4 32 4 6 4 48 8 8 8 4 8 24 4 8 16 36 4 8 4 18 32 4 8 48 3
259033,259099,66,4,3,48,66,78,0.6153846153846154,0.8461538461538461,4 16 12 4 48 4 24 8 8 4 12 8 16 12 8 8 48 4 6 4 4 8 60 4 4 4 12 6 8 12 32 32 4 8 12 4 16 4 44 4 24 12 12 24 4 8 64 3
1646033,1646101,68,6,3,56,68,103,0.5436893203883495,0.6601941747572816,32 4 12 6 16 4 128 8 8 16 12 4 24 8 12 8 24 8 24 4 8 32 32 8 16 4 36 4 8 4 120 8 4 8 12 8 16 8 8 24 12 6 24 4 8 4 40 4 28 4 36 32 8 4 32 3
1885069,1885151,82,4,3,60,82,105,0.5714285714285714,0.780952380952381,16 4 20 4 16 6 24 12 8 24 64 8 4 8 12 8 32 4 12 4 16 4 24 8 8 24 32 4 32 4 36 8 8 8 120 4 8 8 6 8 32 4 16 30 16 8 24 4 8 4 56 8 12 8 6 32 16 4 64 3
