exponent,mersenne_prime,digits,preceding_type_key,preceding_family,preceding_gap_width,preceding_peak_offset,preceding_dmin,preceding_local_window_gap_count,preceding_local_exact_type_count,preceding_local_exact_type_share,preceding_local_exact_type_rank,preceding_local_family_count,preceding_local_family_share,preceding_local_family_rank,following_type_key,following_family,following_gap_width,following_peak_offset,following_dmin,following_local_window_gap_count,following_local_exact_type_count,following_local_exact_type_share,following_local_exact_type_rank,following_local_family_count,following_local_family_share,following_local_family_rank
2,3,1,,,,,,,,,,,,,o4_d3_a1_prime_square,prime_square,2,1,3,21,1,0.047619047619047616,8,4,0.19047619047619047,3
3,7,1,o2_d4_a1_even_semiprime,even_semiprime,2,1,4,22,1,0.045454545454545456,8,7,0.3181818181818182,1,o4_d3_a2_prime_square,prime_square,4,2,3,23,1,0.043478260869565216,8,4,0.17391304347826086,4
5,31,2,o2_d8_a1_higher_divisor_even,higher_divisor_even,2,1,8,29,3,0.10344827586206896,1,9,0.3103448275862069,1,o6_d4_a2_odd_semiprime,odd_semiprime,6,2,4,30,3,0.1,2,8,0.26666666666666666,2
7,127,3,o6_d3_a8_prime_square,prime_square,14,8,3,41,1,0.024390243902439025,10,3,0.07317073170731707,4,o4_d4_a2_odd_semiprime,odd_semiprime,4,2,4,41,5,0.12195121951219512,3,15,0.36585365853658536,1
13,8191,4,o4_d4_a3_even_semiprime,even_semiprime,12,3,4,41,2,0.04878048780487805,6,11,0.2682926829268293,2,o6_d4_a2_odd_semiprime,odd_semiprime,18,2,4,41,3,0.07317073170731707,2,17,0.4146341463414634,1
17,131071,6,o6_d4_a6_odd_semiprime,odd_semiprime,8,6,4,41,3,0.07317073170731707,4,23,0.5609756097560976,1,o6_d4_a2_odd_semiprime,odd_semiprime,30,2,4,41,3,0.07317073170731707,4,23,0.5609756097560976,1
19,524287,6,o4_d4_a4_odd_semiprime,odd_semiprime,18,4,4,41,6,0.14634146341463414,2,22,0.5365853658536586,1,o4_d4_a2_odd_semiprime,odd_semiprime,22,2,4,41,1,0.024390243902439025,8,23,0.5609756097560976,1
31,2147483647,10,o4_d4_a4_odd_semiprime,odd_semiprime,18,4,4,41,8,0.1951219512195122,1,27,0.6585365853658537,1,o4_d4_a2_odd_semiprime,odd_semiprime,12,2,4,41,5,0.12195121951219512,2,27,0.6585365853658537,1
61,2305843009213693951,19,o6_d4_a6_odd_semiprime,odd_semiprime,30,6,4,41,2,0.04878048780487805,5,31,0.7560975609756098,1,o6_d4_a2_odd_semiprime,odd_semiprime,16,2,4,41,2,0.04878048780487805,4,31,0.7560975609756098,1
