exponent,preceding_prime,preceding_gap,winner,winner_offset,winner_divisor_count,claim_filter_pass,calibrated_filter_pass
2,,,,,,False,False
3,2,1,,,,False,False
5,3,2,4,1,3,True,True
7,5,2,6,1,4,True,True
13,11,2,12,1,6,True,True
17,13,4,14,1,4,True,True
19,17,2,18,1,6,True,True
31,29,2,30,1,8,True,True
61,59,2,60,1,12,False,True
89,83,6,85,2,4,True,True
107,103,4,106,3,4,True,True
127,113,14,121,8,3,True,True
521,509,12,511,2,4,True,True
607,601,6,603,2,6,True,True
1279,1277,2,1278,1,12,False,True
2203,2179,24,2181,2,4,True,True
2281,2273,8,2279,6,4,True,True
3217,3209,8,3214,5,4,True,True
4253,4243,10,4247,4,4,True,True
4423,4421,2,4422,1,16,False,True
9689,9679,10,9683,4,4,True,True
9941,9931,10,9934,3,4,True,True
11213,11197,16,11199,2,4,True,True
19937,19927,10,19931,4,4,True,True
21701,21683,18,21685,2,4,True,True
23209,23203,6,23207,4,4,True,True
44497,44491,6,44493,2,4,True,True
86243,86239,4,86241,2,16,False,True
110503,110501,2,110502,1,24,False,True
132049,132047,2,132048,1,60,False,True
216091,216071,20,216074,3,4,True,True
756839,756829,10,756831,2,4,True,True
859433,859423,10,859427,4,4,True,True
1257787,1257749,38,1257754,5,4,False,True
1398269,1398263,6,1398266,3,4,True,True
2976221,2976209,12,2976211,2,8,True,True
3021377,3021373,4,3021374,1,4,True,True
6972593,6972571,22,6972573,2,4,True,True
13466917,13466881,36,13466883,2,4,False,True
20996011,20996009,2,20996010,1,180,False,True
24036583,24036581,2,24036582,1,8,True,True
25964951,25964929,22,25964933,4,4,True,True
30402457,30402401,56,30402403,2,4,False,True
32582657,32582653,4,32582654,1,16,False,True
37156667,37156663,4,37156664,1,8,True,True
42643801,42643793,8,42643798,5,4,True,True
43112609,43112593,16,43112597,4,4,True,True
57885161,57885143,18,57885151,8,4,True,True
74207281,74207279,2,74207280,1,80,False,True
77232917,77232907,10,77232913,6,4,True,True
82589933,82589917,16,82589919,2,4,True,True
136279841,136279823,18,136279831,8,4,True,True
