scale,window_mode,window_size,interval_count,gap_count,winner_d4_count,winner_d4_share,winner_semiprime_count,winner_semiprime_share_of_d4,winner_prime_cube_count,winner_prime_cube_share_of_d4,winner_other_d4_count,winner_other_d4_share_of_d4,winner_non_d4_count,winner_non_d4_share,first_d4_match_count,first_d4_match_rate,interior_square_violation_count,interior_square_violation_rate,median_winner_offset,median_first_d4_offset,max_gap,runtime_seconds
1000000,exact,999999,1,70327,58303,0.8290272583787166,58296,0.9998799375675351,7,0.00012006243246488174,0,0.0,12024,0.17097274162128343,58303,1.0,0,0.0,3,3,114,0.8759123749332502
20000000,exact,19999999,1,1163198,959730,0.8250787914009481,959715,0.9999843706042324,15,1.5629395767559626e-05,0,0.0,203468,0.17492120859905191,959730,1.0,0,0.0,4.0,4.0,180,22.509934165980667
100000000,even,2000000,2,234639,193728,0.8256427959546367,193720,0.9999587049884374,8,4.1295011562603234e-05,0,0.0,40911,0.1743572040453633,193728,1.0,0,0.0,4.0,4.0,176,4.427256040973589
1000000000,even,2000000,2,224237,185013,0.8250779309391403,185005,0.9999567597952577,8,4.3240204742369454e-05,0,0.0,39224,0.17492206906085972,185013,1.0,0,0.0,4,4,190,4.87550187506713
10000000000,even,2000000,2,215807,178500,0.8271279430231642,178492,0.9999551820728292,8,4.481792717086835e-05,0,0.0,37307,0.17287205697683578,178500,1.0,0,0.0,4.0,4.0,288,5.279704875079915
100000000000,even,2000000,2,208766,172443,0.8260109404788136,172435,0.9999536078588287,8,4.6392141171285584e-05,0,0.0,36323,0.1739890595211864,172443,1.0,0,0.0,4,4,268,5.747530083055608
1000000000000,even,2000000,2,202949,167575,0.8257000527226052,167567,0.999952260182008,8,4.7739817991943906e-05,0,0.0,35374,0.1742999472773948,167575,1.0,0,0.0,4,4,306,6.180721457931213
10000000000000,even,2000000,2,197687,163487,0.8269992462832659,163479,0.9999510664456501,8,4.893355434988715e-05,0,0.0,34200,0.17300075371673404,163487,1.0,0,0.0,4,4,300,6.477091708104126
100000000000000,even,2000000,2,193665,160154,0.8269640874706323,160146,0.9999500480787242,8,4.995192127577207e-05,0,0.0,33511,0.17303591252936773,160154,1.0,0,0.0,4.0,4.0,358,6.7959709169808775
1000000000000000,even,2000000,2,189602,156752,0.8267423339416251,156744,0.9999489639685618,8,5.103603143819537e-05,0,0.0,32850,0.17325766605837492,156752,1.0,0,0.0,4.0,4.0,436,7.633043876150623
10000000000000000,even,2000000,2,186494,154278,0.8272544961231997,154270,0.9999481455554259,8,5.1854444574080554e-05,0,0.0,32216,0.17274550387680032,154278,1.0,0,0.0,4.0,4.0,432,7.598253916949034
100000000000000000,even,2000000,2,183355,151823,0.8280275967385673,151815,0.9999473070615125,8,5.269293848758093e-05,0,0.0,31532,0.17197240326143273,151823,1.0,0,0.0,4,4,448,8.144508917001076
1000000000000000000,even,2000000,2,180447,149279,0.8272733822119515,149271,0.999946409072944,8,5.359092705604941e-05,0,0.0,31168,0.17272661778804857,149279,1.0,0,0.0,4,4,448,8.442439250065945
