scale,radius,ranker,shadow_count,true_boundary_right_of_shadow_count,true_boundary_within_radius_count,right_chamber_candidate_count,right_chamber_open_candidate_count,rank_of_true_boundary_by_boundary_score,top1_recall,top2_recall,top4_recall,top8_recall,audit_failed_after_reorientation_if_top1
ALL,16,ranker_a,388,388,136,6208,1487,,0.13917525773195877,0.20876288659793815,0.3479381443298969,0.35051546391752575,334
ALL,16,ranker_b,388,388,136,6208,1487,,0.30927835051546393,0.31958762886597936,0.35051546391752575,0.35051546391752575,268
ALL,16,ranker_c,388,388,136,6208,1487,,0.28865979381443296,0.35051546391752575,0.35051546391752575,0.35051546391752575,276
ALL,16,ranker_d,388,388,136,6208,1487,,0.21649484536082475,0.2757731958762887,0.35051546391752575,0.35051546391752575,304
ALL,32,ranker_a,388,388,250,12416,3251,,0.13917525773195877,0.20876288659793815,0.37371134020618557,0.6237113402061856,334
ALL,32,ranker_b,388,388,250,12416,3251,,0.47164948453608246,0.48195876288659795,0.5154639175257731,0.6288659793814433,205
ALL,32,ranker_c,388,388,250,12416,3251,,0.4175257731958763,0.5747422680412371,0.6443298969072165,0.6443298969072165,226
ALL,32,ranker_d,388,388,250,12416,3251,,0.327319587628866,0.43041237113402064,0.5567010309278351,0.6391752577319587,261
ALL,64,ranker_a,388,388,339,24784,6486,,0.13917525773195877,0.20876288659793815,0.37371134020618557,0.6237113402061856,334
ALL,64,ranker_b,388,388,339,24784,6486,,0.5231958762886598,0.5335051546391752,0.5670103092783505,0.6804123711340206,185
ALL,64,ranker_c,388,388,339,24784,6486,,0.2345360824742268,0.48711340206185566,0.8144329896907216,0.8737113402061856,297
ALL,64,ranker_d,388,388,339,24784,6486,,0.3402061855670103,0.48711340206185566,0.6623711340206185,0.8247422680412371,256
ALL,128,ranker_a,388,388,388,43054,11389,,0.13917525773195877,0.20876288659793815,0.37371134020618557,0.6237113402061856,334
ALL,128,ranker_b,388,388,388,43054,11389,,0.5283505154639175,0.538659793814433,0.5721649484536082,0.6855670103092784,183
ALL,128,ranker_c,388,388,388,43054,11389,,0.08505154639175258,0.22164948453608246,0.5283505154639175,0.9716494845360825,355
ALL,128,ranker_d,388,388,388,43054,11389,,0.34536082474226804,0.4896907216494845,0.6597938144329897,0.8969072164948454,254
