scale,law_id,false_nodes_total,false_nodes_closed,false_nodes_unclosed,false_node_closure_percent,chains_with_false_nodes,false_chains_fully_closed,false_chains_underclosed,projected_bridge_covered_count,projected_bridge_covered_percent,max_horizon_over_sqrt,p95_horizon_over_sqrt,runtime_computable_without_least_factor,audit_fitted,pure_pgs_eligible,promotion_blocked_reason
1000000000000,H_two_lane_fixed_1e5,75,41,34,54.666666666666664,42,15,27,226,88.28125,0.1000001000001,0.1000001000001,True,False,False,under_closes_false_nodes
1000000000000,H_two_lane_fixed_1m,75,75,0,100.0,42,42,0,253,98.828125,1.000001000001,1.000001000001,True,False,False,not_materially_below_half_sqrt
1000000000000,H_two_lane_log2,75,0,75,0.0,42,0,42,211,82.421875,0.000382000382000382,0.000382000382000382,True,False,False,under_closes_false_nodes
1000000000000,H_two_lane_seed_offset_family,75,21,54,28.000000000000004,42,7,35,218,85.15625,0.09000009000009,0.048000048000048,True,False,False,under_closes_false_nodes
1000000000000,H_two_lane_chain_position_family,75,17,58,22.666666666666664,42,3,39,214,83.59375,0.07000007000007,0.05000005000005,True,False,False,under_closes_false_nodes
1000000000000,H_two_lane_delta_vector_family,75,69,6,92.0,42,36,6,247,96.484375,0.53000053000053,0.53000053000053,True,False,False,under_closes_false_nodes
1000000000000,H_two_lane_residue_lane_classifier,75,75,0,100.0,42,42,0,253,98.828125,0.4983764983764984,0.4983764983764984,True,True,False,uses_audit_fitted_frontier_envelope
1000000000000,H_two_lane_half_sqrt_null,75,75,0,100.0,42,42,0,253,98.828125,0.4999994999995,0.4999994999995,True,False,False,half_sqrt_null_comparator
1000000000000000,H_two_lane_fixed_1e5,118,56,62,47.45762711864407,65,17,48,201,80.72289156626506,0.0031622777203367597,0.0031622777203367597,True,False,False,under_closes_false_nodes
1000000000000000,H_two_lane_fixed_1m,118,86,32,72.88135593220339,65,37,28,221,88.75502008032129,0.0316227772033676,0.0316227772033676,True,False,False,under_closes_false_nodes
1000000000000000,H_two_lane_log2,118,0,118,0.0,65,0,65,184,73.89558232931726,1.8878797990410456e-05,1.8878797990410456e-05,True,False,False,under_closes_false_nodes
1000000000000000,H_two_lane_seed_offset_family,118,21,97,17.796610169491526,65,8,57,192,77.10843373493977,0.0027828043938963485,0.0017708755233885854,True,False,False,under_closes_false_nodes
1000000000000000,H_two_lane_chain_position_family,118,23,95,19.491525423728813,65,4,61,188,75.50200803212851,0.002213594404235732,0.0012649110881347038,True,False,False,under_closes_false_nodes
1000000000000000,H_two_lane_delta_vector_family,118,72,46,61.016949152542374,65,26,39,210,84.33734939759037,0.019289894094054235,0.01802498300591953,True,False,False,under_closes_false_nodes
1000000000000000,H_two_lane_residue_lane_classifier,118,118,0,100.0,65,65,0,249,100.0,0.4983765182411563,0.44275151555322023,True,True,False,uses_audit_fitted_frontier_envelope
1000000000000000,H_two_lane_half_sqrt_null,118,118,0,100.0,65,65,0,249,100.0,0.5,0.5,True,False,False,half_sqrt_null_comparator
1000000000000000000,H_two_lane_fixed_1e5,186,59,127,31.72043010752688,76,9,67,183,73.2,0.0001000000001,0.0001000000001,True,False,False,under_closes_false_nodes
1000000000000000000,H_two_lane_fixed_1m,186,103,83,55.376344086021504,76,20,56,194,77.60000000000001,0.001000000001,0.001000000001,True,False,False,under_closes_false_nodes
1000000000000000000,H_two_lane_log2,186,0,186,0.0,76,0,76,174,69.6,8.59000000859e-07,8.59000000859e-07,True,False,False,under_closes_false_nodes
1000000000000000000,H_two_lane_seed_offset_family,186,19,167,10.21505376344086,76,3,73,177,70.8,7.000000007e-05,5.2000000052e-05,True,False,False,under_closes_false_nodes
1000000000000000000,H_two_lane_chain_position_family,186,27,159,14.516129032258066,76,2,74,176,70.39999999999999,8.000000008e-05,6.000000006e-05,True,False,False,under_closes_false_nodes
1000000000000000000,H_two_lane_delta_vector_family,186,86,100,46.236559139784944,76,14,62,188,75.2,0.00065000000065,0.00055000000055,True,False,False,under_closes_false_nodes
1000000000000000000,H_two_lane_residue_lane_classifier,186,186,0,100.0,76,76,0,250,100.0,0.4983764984983765,0.451843037451843,True,True,False,uses_audit_fitted_frontier_envelope
1000000000000000000,H_two_lane_half_sqrt_null,186,186,0,100.0,76,76,0,250,100.0,0.4999999995,0.4999999995,True,False,False,half_sqrt_null_comparator
